laptop_model,brand,price,num_votes,ratings,thickness,weight,warranty,screen_size,resolution_width,resolution_height,ppi,threads,ram,antiglare,aspect_ratio,touch_screen,cores,battery_capacity,battery_cell,hdmi,ethernet,multi_card_reader,thunderbolt,display_port,vga,backlit,fingerprint_sensor,inbuilt_microphone,usb2,usb3,typec,processor_gen,processor_brand,processor_model,graphics_brand,graphics_capacity,graphics_model,everyday_use,business,performance,gaming,hdd,ssd
Asus Vivobook Go 15 2023 E1504FA-NJ543WS Laptop (Ryzen 5 7520U / 16GB/ 512GB SSD/ Win11 Home),Asus,44990,86.0,3.9,17.9,1.63,1.0,15.6,1920.0,1080.0,141,8.0,16,1,16:9,0,4.0,45.0,,1,0,0,0,0,0,0,0,1,1.0,1.0,1.0,7.0,amd,5,amd,,Integrated,0,0,1,0,,512.0
Asus Vivobook Go 15 OLED 2023 E1504FA-LK322WS Laptop (Ryzen 3 7320U / 8GB/ 512GB SSD/ Win11 Home),Asus,39990,432.0,4.25,17.9,1.63,1.0,15.6,1920.0,1080.0,141,8.0,8,1,16:9,0,4.0,,,1,0,0,0,0,0,1,0,1,1.0,1.0,1.0,7.0,amd,3,amd,,Integrated,0,0,1,0,,512.0
Lenovo IdeaPad 3 14IAU7 82RJ0050IN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),Lenovo,39990,83.0,4.25,19.9,1.43,1.0,14.0,1920.0,1080.0,157,8.0,8,1,0,0,6.0,,,1,0,1,0,0,0,1,1,1,1.0,1.0,1.0,12.0,intel,i3,intel,,Integrated,0,0,1,0,,512.0
MSI Stealth GS77 12UHS-226IN Gaming Laptop (12th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 16GB Graph),MSI,308990,70.0,4.3,21.0,2.8,2.0,17.3,3840.0,2160.0,255,20.0,32,1,0,0,14.0,,4.0,1,1,1,1,0,0,1,1,1,,2.0,2.0,12.0,intel,i9,nvidia,16.0,Integrated,0,0,0,1,,2048.0
Infinix INBook Y1 Plus XL28 Laptop (10th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),Infinix,26990,1944.0,4.1,18.2,1.76,1.0,15.6,1920.0,1080.0,141,4.0,8,1,0,0,2.0,50.0,,1,0,0,0,0,0,1,0,1,,2.0,2.0,10.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0
Infinix INBook Y1 Plus Laptop (10th Gen Core i3/ 8GB/ 256GB SSD/ Win 11 Home),Infinix,26990,2193.0,4.2,18.2,1.76,1.0,15.6,1920.0,1080.0,141,4.0,8,1,0,0,2.0,50.0,,1,0,0,0,0,0,1,0,1,,2.0,2.0,10.0,intel,i3,intel,,Integrated,1,0,0,0,,256.0
HP 15s-fq2717TU Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),HP,37990,694.0,4.15,17.9,1.69,1.0,15.6,1920.0,1080.0,141,4.0,8,1,0,0,2.0,41.0,3.0,1,0,1,0,0,0,1,0,1,,2.0,1.0,11.0,intel,i3,intel,,Integrated,0,0,1,0,,512.0
HP 15s-fr4000TU Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),HP,51990,2315.0,4.3,17.9,1.69,1.0,15.6,1920.0,1080.0,141,8.0,8,1,0,0,4.0,41.0,3.0,1,0,1,0,0,0,1,0,1,,2.0,1.0,11.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0
Asus Vivobook 16X M1603QA-MB512WS Laptop (Ryzen 5-5600H/ 16GB/ 512GB SSD/ Win11 Home),Asus,53990,140.0,4.3,20.0,1.8,1.0,16.0,1200.0,1920.0,283,12.0,16,1,16:10,0,6.0,,,1,0,0,0,0,0,1,1,1,1.0,2.0,1.0,5.0,amd,5,amd,,Integrated,0,0,0,1,,512.0
Dell Latitude 3430 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Pro),Dell,108000,99.0,4.35,0.0,1.59,1.0,14.0,1366.0,768.0,112,12.0,8,0,16:9,0,10.0,,4.0,1,1,1,0,0,0,1,1,1,1.0,2.0,1.0,12.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0
Dell Inspiron 3535 Laptop (AMD Ryzen R5-7520U/ 8GB/ 512GB/ Win11),Dell,44550,110.0,4.0,0.0,1.63,1.0,15.6,1920.0,1080.0,147,8.0,8,1,16:9,0,4.0,41.0,3.0,1,0,1,0,0,0,0,0,1,1.0,1.0,1.0,7.0,amd,5,amd,,Integrated,1,0,0,0,,512.0
HP ZBook Firefly 16 G9 6V2X7PA Workstation PC Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11),HP,143000,91.0,4.45,19.9,1.8,1.0,16.0,1920.0,1200.0,142,12.0,16,1,0,0,10.0,51.0,3.0,1,0,0,0,0,0,1,1,1,,2.0,2.0,12.0,intel,i7,intel,,Integrated,1,0,0,0,,1024.0
Acer Aspire 5 A515-58M 2023 Gaming Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),Acer,42990,74.0,4.75,0.0,1.75,1.0,15.6,1920.0,1080.0,141,8.0,8,1,16:9,0,6.0,50.0,3.0,1,0,0,1,0,0,1,0,1,,2.0,1.0,13.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0
Dell XPS 17 9730 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),Dell,354490,65.0,4.0,19.5,2.44,1.0,17.0,3840.0,2400.0,266,20.0,32,1,16:10,1,14.0,97.0,6.0,0,0,1,1,0,0,1,1,1,,,4.0,13.0,intel,i9,nvidia,8.0,rtx4070,1,0,0,0,,1024.0
Lenovo V15 G3 IAP 82TTA00UIH Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ DOS),Lenovo,33900,101.0,4.55,19.9,1.7,1.0,15.6,1920.0,1080.0,141,8.0,8,1,0,0,6.0,,2.0,1,1,0,0,0,0,0,0,1,1.0,1.0,1.0,12.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0
HP Pavilion 15-EH3101AU Laptop (AMD Ryzen 7- 7730U/ 16GB/ 512GB SSD/ Win11 Home),HP,66999,69.0,4.45,17.9,1.75,1.0,15.6,1920.0,1080.0,141,16.0,16,1,0,0,8.0,,3.0,1,0,0,0,0,0,1,0,1,,2.0,1.0,7.0,amd,3,amd,,Integrated,1,0,0,0,,512.0
Dell Vostro 5630 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),Dell,89990,100.0,4.6,18.0,1.91,1.0,16.0,1920.0,1080.0,138,12.0,16,1,16:10,0,10.0,54.0,4.0,1,1,1,0,0,0,1,1,1,,2.0,1.0,13.0,intel,i7,,12.0,Integrated,1,0,0,0,,512.0
Lenovo V15 G4 82YU00W7IN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),Lenovo,31990,84.0,4.4,19.9,1.65,1.0,15.6,1920.0,1080.0,147,8.0,8,1,0,0,4.0,,,1,1,1,0,0,0,0,0,1,,2.0,1.0,7.0,amd,3,amd,,Integrated,0,0,1,0,,512.0
Lenovo Legion 5 Pro 2023 Gaming Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win11/ 16GB Graph),Lenovo,172990,70.0,4.65,0.0,,1.0,16.0,2560.0,1600.0,184,20.0,32,1,16:10,0,14.0,,3.0,1,1,0,1,0,0,1,0,1,,3.0,2.0,13.0,intel,i7,nvidia,16.0,rtx4090,0,0,0,1,,1024.0
MSI Stealth 16 Mercedes AMG Motorsport A13V Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11 Home/ 8GB Graph),MSI,292990,94.0,4.2,19.95,1.88,2.0,16.0,3840.0,2400.0,283,20.0,32,1,0,0,14.0,99.9,4.0,1,1,0,0,0,0,1,1,1,,1.0,2.0,13.0,intel,i9,nvidia,8.0,rtx4070,0,0,1,0,,1024.0
Acer Aspire 7 A715-76G NH.QMESI.002 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Acer,47990,431.0,4.2,19.9,2.1,1.0,15.6,1920.0,1080.0,141,12.0,8,1,0,0,8.0,,3.0,1,1,0,1,0,0,1,0,1,,3.0,1.0,12.0,intel,i5,nvidia,4.0,gtx1650,0,0,0,1,,512.0
HP Pavilion 15-eg3027TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),HP,66150,87.0,4.4,17.9,1.74,1.0,15.6,1920.0,1080.0,141,16.0,16,1,0,0,12.0,41.0,,1,0,0,0,0,0,1,0,0,,2.0,1.0,13.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0
Asus TUF Gaming A15 2023 FA577XU-LP041WS Gaming Laptop (AMD Ryzen 9 7940HS/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),Asus,131990,77.0,4.5,24.9,2.2,1.0,15.6,1920.0,1080.0,141,16.0,16,1,0,0,8.0,,4.0,1,1,0,1,0,0,1,0,1,,2.0,2.0,7.0,amd,7,nvidia,6.0,rtx4050,0,0,0,1,,1024.0
Asus ROG Strix G16 2023 G614JV-N4141WS Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),Asus,179990,112.0,4.4,30.4,2.5,1.0,16.0,2560.0,1600.0,189,32.0,16,1,0,0,24.0,,4.0,1,1,0,1,0,0,1,0,1,,2.0,2.0,13.0,intel,i9,nvidia,8.0,rtx4060,0,0,0,1,,1024.0
Asus Vivobook 16X 2023 K3605ZC-MB541WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Asus,79990,266.0,4.4,18.9,1.8,1.0,16.0,1920.0,1200.0,142,12.0,16,1,16:10,0,8.0,63.0,3.0,1,0,1,0,0,0,1,1,1,,2.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,1,0,,512.0
HP 15s-fr5009TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),HP,41490,92.0,4.05,17.9,1.69,1.0,15.6,1920.0,1080.0,141,8.0,8,1,16:9,0,6.0,,3.0,1,0,0,0,0,0,1,0,1,,2.0,1.0,12.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0
MSI Katana 15 B12UDXK-1005IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),MSI,76990,121.0,4.25,24.9,2.25,2.0,15.6,1920.0,1080.0,141,12.0,16,1,0,0,8.0,53.5,3.0,1,1,0,0,0,0,1,0,1,1.0,2.0,1.0,12.0,intel,i5,nvidia,6.0,rtx3050,0,0,1,0,,512.0
Asus Vivobook 14X 2023 K3405VF-LY541WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/4 GB Graphics),Asus,79990,100.0,4.3,18.9,1.4,1.0,14.0,1920.0,1200.0,162,16.0,16,1,16:10,0,12.0,50.0,3.0,1,0,0,0,0,0,1,1,1,,2.0,1.0,13.0,intel,i5,nvidia,4.0,rtx2050,0,0,1,0,,512.0
Asus Vivobook 16X 2023 K3605VC-MB542WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Asus,87990,115.0,4.35,20.0,1.8,1.0,16.0,1920.0,1200.0,283,16.0,16,1,16:10,0,12.0,50.0,3.0,1,0,1,0,0,0,1,1,1,,2.0,1.0,13.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0
Asus TUF Gaming F17 FX706HF-HX018W Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),Asus,59519,321.0,4.35,0.0,2.6,1.0,17.3,1920.0,1080.0,127,12.0,8,1,16:9,0,6.0,48.0,3.0,1,1,0,1,0,0,1,0,1,,3.0,1.0,11.0,intel,i5,nvidia,4.0,rtx2050,0,0,0,1,,512.0
Asus TUF Gaming F15 FX506HF-HN025W Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),Asus,61990,94.0,4.4,24.5,2.3,1.0,15.6,1920.0,1080.0,141,12.0,16,1,16:9,0,6.0,48.0,4.0,1,1,0,1,0,0,1,0,1,,3.0,1.0,11.0,intel,i5,nvidia,4.0,rtx2050,0,0,0,1,,512.0
HP Victus 15-fb0122AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),HP,54990,73.0,4.05,23.0,2.37,1.0,15.6,1920.0,1080.0,137,12.0,8,1,16:9,0,6.0,52.5,3.0,1,1,1,0,0,0,1,0,1,,2.0,1.0,5.0,amd,5,nvidia,4.0,gtx1650,0,0,0,1,,512.0
Asus Vivobook Pro 16 OLED 2023 K6602VU-LZ952WS Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),Asus,159990,69.0,4.6,19.9,1.9,1.0,16.0,3200.0,2000.0,236,20.0,16,1,16:10,0,14.0,96.0,6.0,1,1,0,1,0,0,1,1,1,,2.0,2.0,13.0,intel,i9,nvidia,6.0,rtx4050,1,0,0,0,,1024.0
Realme Book Prime CloudPro002 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),Realme,40990,265.0,4.15,14.9,1.37,1.0,14.0,2160.0,1440.0,185,8.0,8,1,0,0,4.0,,,0,0,0,1,0,0,1,1,1,,1.0,2.0,11.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0
HP Victus 15-fa1066TX Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),HP,109990,123.0,4.55,22.5,2.37,1.0,15.6,1920.0,1080.0,141,20.0,16,1,0,0,14.0,70.0,4.0,1,1,1,0,0,0,1,0,1,,3.0,1.0,13.0,intel,i7,nvidia,6.0,rtx4050,0,0,0,1,,512.0
Acer Nitro 5 AN515-47 Gaming Laptop (AMD Ryzen 7 7735HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Acer,84000,133.0,4.65,26.9,2.5,1.0,15.6,1920.0,1080.0,141,16.0,16,1,0,0,8.0,57.0,4.0,1,1,0,0,0,0,1,0,1,,3.0,1.0,7.0,amd,3,nvidia,4.0,rtx3050,1,0,0,0,,512.0
Asus Vivobook 15 2023 X1502VA-NJ541WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Asus,64990,118.0,4.05,19.9,1.7,1.0,15.6,1920.0,1080.0,141,16.0,16,1,16:9,0,12.0,,3.0,1,0,0,0,0,0,1,0,1,1.0,2.0,1.0,13.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0
Lenovo V15 82QYA00MIN Laptop (Celeron N4020/ 8GB/ 256GB SSD/ Win11 Home),Lenovo,24551,1076.0,4.0,0.0,,1.0,15.6,1920.0,1080.0,141,2.0,8,0,0,0,2.0,,,1,1,0,0,0,0,0,0,1,1.0,1.0,1.0,,intel,7,intel,,Integrated,1,0,0,0,,256.0
Honor MagicBook 15 BMH-WFQ9HN Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11),Honor,40990,727.0,4.3,17.0,1.54,1.0,15.6,1920.0,1080.0,141,12.0,16,0,16:9,0,6.0,56.0,3.0,1,0,0,0,0,0,1,1,1,1.0,1.0,1.0,5.0,amd,5,amd,,Integrated,0,0,1,0,,512.0
HP 15s-eq2223AU Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),HP,41490,666.0,4.25,0.0,1.69,1.0,15.6,1920.0,1080.0,141,12.0,8,1,0,0,6.0,41.0,3.0,1,0,1,0,0,0,0,0,1,,2.0,1.0,5.0,amd,5,amd,,Integrated,0,0,1,0,,512.0
HP 15-fc0028AU Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home),HP,45790,104.0,4.65,0.0,1.75,1.0,15.6,1920.0,1080.0,141,8.0,8,1,0,0,4.0,41.0,3.0,1,0,0,0,0,0,0,0,1,,2.0,1.0,7.0,amd,5,amd,,Integrated,0,0,1,0,,512.0
HP Victus 15-fb0108AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),HP,56990,88.0,4.7,23.0,2.37,1.0,15.6,1920.0,1080.0,137,12.0,8,1,16:9,0,6.0,52.5,3.0,1,1,1,0,0,0,1,0,1,,2.0,1.0,5.0,amd,5,amd,4.0,rx6500m,0,0,0,1,,512.0
HP 14s-dy5008TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),HP,42990,1336.0,4.05,17.9,1.46,1.0,14.0,1920.0,1080.0,157,8.0,8,1,0,0,6.0,41.0,3.0,1,0,1,0,0,0,1,0,1,,2.0,1.0,12.0,intel,i3,intel,,Integrated,0,0,1,0,,512.0
Asus ROG Zephyrus Duo 16 (2023) GX650PY-NM052WS Gaming Laptop ( AMD Ryzen 9 7945HX/ 32GB/ 2TB SSD/ Win11/ 16GB Graph),Asus,429990,68.0,4.5,20.5,2.67,1.0,16.0,3840.0,2400.0,283,32.0,32,1,16:10,0,16.0,90.0,4.0,1,1,0,1,0,0,1,0,1,,2.0,2.0,7.0,amd,5,nvidia,16.0,rtx4090,0,0,0,1,,2048.0
Acer Extensa 15 EX215-33 Laptop (Intel Core i3 N305/ 8GB/ 256GB SSD/ Win11 Home),Acer,30990,1075.0,4.1,18.9,1.7,1.0,15.6,1920.0,1080.0,141,8.0,8,1,0,0,8.0,40.0,3.0,1,1,0,0,0,0,0,0,0,,2.0,1.0,,intel,i3,intel,,Integrated,1,0,0,0,,256.0
MSI Katana 15 B13VFK-296IN Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),MSI,116990,77.0,4.5,24.9,2.25,2.0,15.6,1920.0,1080.0,141,16.0,16,1,0,0,10.0,53.5,3.0,1,1,0,0,0,0,1,0,1,1.0,2.0,1.0,13.0,intel,i7,nvidia,8.0,rtx4060,0,0,1,0,,1024.0
HP Victus 15-Fa0117TX Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),HP,67990,75.0,4.6,22.5,2.37,1.0,15.6,1920.0,1080.0,137,12.0,16,1,16:9,0,8.0,52.5,3.0,1,1,1,0,0,0,1,0,1,,2.0,1.0,12.0,intel,i5,nvidia,4.0,gtx1650,0,0,0,1,,512.0
Samsung Galaxy Book 3 NP750XFG-KA3IN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),Samsung,89990,243.0,4.5,15.4,1.57,1.0,15.6,1920.0,1080.0,157,12.0,16,1,0,0,10.0,54.0,,1,0,0,0,0,0,1,1,1,,2.0,2.0,13.0,intel,i7,intel,,Integrated,0,1,0,0,,512.0
Samsung Galaxy Book 3 NP750XFG-KA2IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Samsung,76990,347.0,4.4,15.4,1.57,1.0,15.6,1920.0,1080.0,157,12.0,16,1,0,0,10.0,54.0,,1,0,0,0,0,0,1,1,1,,2.0,2.0,13.0,intel,i5,intel,,Integrated,0,1,0,0,,512.0
Asus Vivobook 15 X1502ZA-EJ332WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Asus,42990,339.0,4.0,0.0,,1.0,15.6,1920.0,1080.0,141,12.0,8,1,16:9,0,10.0,,3.0,1,0,0,0,0,0,1,0,1,1.0,2.0,1.0,12.0,intel,i3,intel,,Integrated,0,0,1,0,,512.0
MSI Pulse 17 B13VGK-252IN Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),MSI,154990,99.0,4.35,27.2,2.7,2.0,17.3,1920.0,1080.0,127,20.0,16,1,0,0,14.0,90.0,4.0,1,1,0,0,0,0,1,0,1,1.0,2.0,1.0,13.0,intel,i7,nvidia,8.0,rtx4070,0,0,1,0,,1024.0
Samsung Galaxy Book 3 Ultra NP960XFH-XA1IN Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ Nvidia RTX4070),Samsung,281990,54.0,4.2,16.5,1.79,1.0,16.0,2880.0,1800.0,157,20.0,32,1,0,0,14.0,,,1,0,0,1,0,0,1,1,1,,1.0,2.0,13.0,intel,i9,nvidia,,rtx4070,0,1,0,0,,1024.0
Lenovo IdeaPad Slim 3 82KU0238IN Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,46990,2650.0,4.3,19.9,1.65,1.0,15.6,1920.0,1080.0,157,12.0,16,1,0,0,6.0,65.0,,1,0,1,0,0,0,1,1,1,1.0,1.0,1.0,5.0,amd,5,amd,,Integrated,0,0,1,0,,512.0
Samsung Galaxy Book 3 Pro 360 NP960QFG-KA1IN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),Samsung,163990,77.0,4.1,12.8,1.66,1.0,16.0,2880.0,1800.0,212,16.0,16,1,16:10,1,12.0,76.0,,1,0,0,1,0,0,1,1,1,,1.0,2.0,13.0,intel,i7,intel,,Integrated,1,0,0,0,,512.0
Samsung Galaxy Book 3 360 NP750QFG-KA3IN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),Samsung,138990,123.0,4.25,13.7,1.46,1.0,15.6,1920.0,1080.0,141,16.0,16,1,16:10,1,12.0,68.0,,1,0,0,1,0,0,1,1,1,,1.0,2.0,13.0,intel,i7,intel,,Integrated,1,0,0,0,,1024.0
Samsung Galaxy Book 3 360 13 NP730QFG-KA2IN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),Samsung,109990,64.0,3.95,12.9,1.16,1.0,13.3,1920.0,1080.0,166,12.0,16,1,16:10,1,10.0,61.0,,1,0,0,1,0,0,1,1,1,,1.0,2.0,13.0,intel,i7,intel,,Integrated,1,0,0,0,,512.0
Asus VivoBook 15 X1500EA-EJ3379WS Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Asus,34000,106.0,4.3,19.9,1.8,1.0,15.6,1920.0,1080.0,141,4.0,8,1,16:9,0,2.0,37.0,2.0,1,0,0,0,0,0,1,1,1,2.0,1.0,1.0,11.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0
Primebook 4G Android Laptop (MediaTek Kompanio 500/ 4GB/ 128GB eMMC/ Android 11),Primebook,12990,898.0,4.1,19.3,1.2,1.0,11.6,1366.0,768.0,135,,4,0,0,0,8.0,,,0,1,0,0,0,0,0,0,1,,2.0,,,mediatek,7,arm,,Integrated,0,0,0,0,128.0,0.0
HP Victus 15-fb0777AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),HP,56490,172.0,4.05,23.0,2.37,1.0,15.6,1920.0,1080.0,137,12.0,8,1,16:9,0,6.0,52.5,3.0,1,1,1,0,0,0,1,0,1,,2.0,1.0,5.0,amd,5,amd,4.0,rx6500m,0,0,0,1,,512.0
HP Pavilion 15-eg2091TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),HP,67990,1271.0,4.25,17.9,1.74,1.0,15.6,1920.0,1080.0,141,16.0,16,1,0,0,12.0,41.0,3.0,1,0,0,0,0,0,1,0,1,,2.0,1.0,12.0,intel,i5,intel,,Integrated,0,1,0,0,,512.0
Apple MacBook Pro 14 inch Laptop (M2 Pro 10-core CPU/ 16GB/ 512GB SSD/ Mac OS/ 16-core GPU),Apple,199900,100.0,4.1,15.5,1.6,1.0,14.2,3024.0,1964.0,254,,16,1,0,0,10.0,70.0,,1,0,1,1,0,0,1,0,1,,,3.0,,apple,M2,apple,,Integrated,0,0,1,0,,512.0
HP Envy x360 13-bf0121TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),HP,84844,121.0,4.3,16.9,1.32,1.0,13.4,1920.0,1200.0,255,12.0,16,1,0,1,10.0,,4.0,0,0,0,1,0,0,1,0,1,,2.0,2.0,12.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0
Acer Aspire 7 A715-51G UN.QGCSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Acer,69000,111.0,4.0,19.9,2.1,1.0,15.6,1920.0,1080.0,141,16.0,16,0,0,0,12.0,50.0,3.0,1,1,0,1,0,0,1,1,1,,3.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,1,0,0,0,,512.0
HP Pavilion 14-dv2014TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win 11),HP,65439,1632.0,4.2,17.0,1.41,1.0,14.0,1920.0,1080.0,141,12.0,16,1,0,0,10.0,43.0,3.0,1,0,0,0,0,0,1,1,1,2.0,,1.0,12.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0
Lenovo S14 Gen 3 82TW001DIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),Lenovo,59990,81.0,4.2,0.0,1.5,3.0,14.0,1920.0,1080.0,157,12.0,8,1,0,0,10.0,45.0,3.0,1,0,0,0,0,0,1,1,1,1.0,1.0,1.0,12.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0
Lenovo ThinkPad E14 21E3S04X00 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),Lenovo,67990,104.0,4.35,19.0,1.59,1.0,14.0,1920.0,1080.0,157,12.0,8,1,16:9,0,10.0,,3.0,1,1,0,0,0,0,1,1,1,1.0,1.0,1.0,12.0,intel,i5,intel,,Integrated,0,1,0,0,,512.0
Dell Inspiron 3520 D560871WIN9B Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),Dell,54990,124.0,3.95,0.0,1.65,1.0,15.6,1920.0,1080.0,141,12.0,8,1,0,0,10.0,41.0,3.0,1,0,1,1,0,0,0,0,1,1.0,2.0,,12.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0
Asus VivoBook 14 2022 X1402ZA-MW511WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Asus,62990,100.0,4.15,19.9,1.5,1.0,14.0,1920.0,1080.0,157,16.0,16,1,16:9,1,12.0,42.0,3.0,1,0,0,0,0,0,1,1,1,1.0,2.0,1.0,12.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0
MSI Creator Pro M16 A12UIS-634IN Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win 11/ 4GB Graph),MSI,86800,103.0,4.1,23.95,2.26,2.0,16.0,2560.0,1660.0,191,20.0,16,1,0,0,14.0,53.5,3.0,1,1,0,0,0,0,1,0,1,1.0,2.0,1.0,12.0,intel,i7,nvidia,4.0,Integrated,0,0,1,0,,1024.0
Asus Chromebook Flip C214MA-BU0704 Laptop (Celeron N4020/ 4GB/ 32GB eMMC/ Chrome OS),Asus,16990,3050.0,4.0,19.5,1.2,1.0,11.6,1366.0,768.0,135,2.0,4,1,16:9,0,2.0,,3.0,0,0,1,0,0,0,1,0,1,,1.0,2.0,,intel,7,intel,,Integrated,0,0,1,0,32.0,0.0
Asus VivoBook Pro 15 OLED K6500ZC-L502WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Asus,86990,232.0,4.4,19.9,1.8,1.0,15.6,1920.0,1080.0,141,12.0,16,1,16:9,0,8.0,,3.0,1,0,1,0,0,0,1,1,1,2.0,1.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,1,0,0,0,,512.0
Acer One 14 Z2-493 Laptop (AMD Ryzen 3 3250U/ 8GB/ 256GB SSD/ Win11),Acer,23990,566.0,3.95,20.9,1.5,1.0,14.0,1366.0,768.0,112,4.0,8,0,0,0,2.0,,3.0,1,1,0,0,0,0,0,0,1,,2.0,1.0,3.0,amd,3,amd,,Integrated,1,0,0,0,,256.0
